System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =   78.11053251 + j -280.7345366
[  16,  10] = -0.02862709552 + j0.09959342475
[  17,  10] = 0.008179170149 + j-0.02845526421
[  18,  10] = 0.008179170149 + j-0.02845526421
[  25,  10] =             0 + j0.09621798358
[  11,  11] = 0.07325956639 + j -0.253611869
[  12,  11] = -0.02080668183 + j 0.0650601419
[  16,  11] = 0.008179170149 + j-0.02845526421
[  17,  11] = -0.02862709552 + j0.09959342475
[  18,  11] = 0.008179170149 + j-0.02845526421
[  26,  11] =             0 + j0.09621798358
[  12,  12] = 0.07325956639 + j -0.253611869
[  16,  12] = 0.008179170149 + j-0.02845526421
[  17,  12] = 0.008179170149 + j-0.02845526421
[  18,  12] = -0.02862709552 + j0.09959342475
[  27,  12] =             0 + j0.09621798358
[  13,  13] =  0.0236632587 + j-0.05550740184
[  14,  13] = -0.005216280002 + j0.01554770939
[  15,  13] = -0.005216280002 + j0.01554770939
[  19,  13] = -0.01318624391 + j0.03325226725
[  20,  13] = 0.00376749826 + j-0.009500647787
[  21,  13] = 0.00376749826 + j-0.009500647787
[  14,  14] =  0.0236632587 + j-0.05550740184
[  15,  14] = -0.005216280002 + j0.01554770939
[  19,  14] = 0.00376749826 + j-0.009500647787
[  20,  14] = -0.01318624391 + j0.03325226725
[  21,  14] = 0.00376749826 + j-0.009500647787
[  15,  15] =  0.0236632587 + j-0.05550740184
[  19,  15] = 0.00376749826 + j-0.009500647787
[  20,  15] = 0.00376749826 + j-0.009500647787
[  21,  15] = -0.01318624391 + j0.03325226725
[  16,  16] = 0.09972924885 + j-0.3785888217
[  17,  16] = -0.0284940711 + j0.09678508142
[  18,  16] = -0.0284940711 + j0.09678508142
[  19,  16] = -0.01602608979 + j0.04921870273
[  20,  16] = 0.004578882798 + j-0.01406248649
[  21,  16] = 0.004578882798 + j-0.01406248649
[  22,  16] = -0.02807440391 + j0.09826041368
[  23,  16] = 0.008021258259 + j-0.02807440391
[  24,  16] = 0.008021258259 + j-0.02807440391
[  49,  16] =             0 + j0.04261019879
[  79,  16] = -0.01947499516 + j0.06902675798
[  80,  16] = 0.005564284331 + j-0.01972193085
[  81,  16] = 0.005564284331 + j-0.01972193085
[  82,  16] =             0 + j  3.724121822
[  17,  17] = 0.09972924885 + j-0.3785888217
[  18,  17] = -0.0284940711 + j0.09678508142
[  19,  17] = 0.004578882798 + j-0.01406248649
[  20,  17] = -0.01602608979 + j0.04921870273
[  21,  17] = 0.004578882798 + j-0.01406248649
[  22,  17] = 0.008021258259 + j-0.02807440391
[  23,  17] = -0.02807440391 + j0.09826041368
[  24,  17] = 0.008021258259 + j-0.02807440391
[  50,  17] =             0 + j0.04261019879
[  79,  17] = 0.005564284331 + j-0.01972193085
[  80,  17] = -0.01947499516 + j0.06902675798
[  81,  17] = 0.005564284331 + j-0.01972193085
[  83,  17] =             0 + j  3.724121822
[  18,  18] = 0.09972924885 + j-0.3785888217
[  19,  18] = 0.004578882798 + j-0.01406248649
[  20,  18] = 0.004578882798 + j-0.01406248649
[  21,  18] = -0.01602608979 + j0.04921870273
[  22,  18] = 0.008021258259 + j-0.02807440391
[  23,  18] = 0.008021258259 + j-0.02807440391
[  24,  18] = -0.02807440391 + j0.09826041368
[  51,  18] =             0 + j0.04261019879
[  79,  18] = 0.005564284331 + j-0.01972193085
[  80,  18] = 0.005564284331 + j-0.01972193085
[  81,  18] = -0.01947499516 + j0.06902675798
[  84,  18] =             0 + j  3.724121822
[  19,  19] = 0.03052087365 + j-0.08301307225
[  20,  19] = -0.008346381058 + j0.02353928524
[  21,  19] = -0.008346381058 + j0.02353928524
[  20,  20] = 0.03052087365 + j-0.08301307225
[  21,  20] = -0.008346381058 + j0.02353928524
[  21,  21] = 0.03052087365 + j-0.08301307225
[  22,  22] = 0.03624178697 + j -0.120135961
[  23,  22] = -0.009862880366 + j0.03383263683
[  24,  22] = -0.009862880366 + j0.03383263683
[  79,  22] = -0.006445677373 + j 0.0202694257
[  80,  22] = 0.001841622107 + j-0.005791264486
[  81,  22] = 0.001841622107 + j-0.005791264486
[  23,  23] = 0.03624178697 + j -0.120135961
[  24,  23] = -0.009862880366 + j0.03383263683
[  79,  23] = 0.001841622107 + j-0.005791264486
[  80,  23] = -0.006445677373 + j 0.0202694257
[  81,  23] = 0.001841622107 + j-0.005791264486
[  24,  24] = 0.03624178697 + j -0.120135961
[  79,  24] = 0.001841622107 + j-0.005791264486
[  80,  24] = 0.001841622107 + j-0.005791264486
[  81,  24] = -0.006445677373 + j 0.0202694257
[  25,  25] =  0.4798054391 + j -1.976761431
[  26,  25] = -0.1341487926 + j 0.2729325684
[  27,  25] = -0.1341487926 + j 0.2729325684
[  28,  25] =  -0.109029418 + j 0.2266501062
[  29,  25] =  0.0311512623 + j-0.06475717321
[  30,  25] =  0.0311512623 + j-0.06475717321
[  31,  25] = -0.2210771684 + j 0.4354752683
[  32,  25] = 0.06316490527 + j-0.1244215052
[  33,  25] = 0.06316490527 + j-0.1244215052
[  34,  25] = -0.1394141878 + j  0.293138615
[  35,  25] = 0.03983262508 + j-0.08375388999
[  36,  25] = 0.03983262508 + j-0.08375388999
[  88,  25] =             0 + j   1.96772924
[  26,  26] =  0.4798054391 + j -1.976761431
[  27,  26] = -0.1341487926 + j 0.2729325684
[  28,  26] =  0.0311512623 + j-0.06475717321
[  29,  26] =  -0.109029418 + j 0.2266501062
[  30,  26] =  0.0311512623 + j-0.06475717321
[  31,  26] = 0.06316490527 + j-0.1244215052
[  32,  26] = -0.2210771684 + j 0.4354752683
[  33,  26] = 0.06316490527 + j-0.1244215052
[  34,  26] = 0.03983262508 + j-0.08375388999
[  35,  26] = -0.1394141878 + j  0.293138615
[  36,  26] = 0.03983262508 + j-0.08375388999
[  89,  26] =             0 + j   1.96772924
[  27,  27] =  0.4798054391 + j -1.976761431
[  28,  27] =  0.0311512623 + j-0.06475717321
[  29,  27] =  0.0311512623 + j-0.06475717321
[  30,  27] =  -0.109029418 + j 0.2266501062
[  31,  27] = 0.06316490527 + j-0.1244215052
[  32,  27] = 0.06316490527 + j-0.1244215052
[  33,  27] = -0.2210771684 + j 0.4354752683
[  34,  27] = 0.03983262508 + j-0.08375388999
[  35,  27] = 0.03983262508 + j-0.08375388999
[  36,  27] = -0.1394141878 + j  0.293138615
[  90,  27] =             0 + j   1.96772924
[  28,  28] =  0.2926297226 + j-0.3888796585
[  29,  28] = -0.08198183599 + j 0.1106886916
[  30,  28] = -0.08198183599 + j 0.1106886916
[  31,  28] = -0.1779070079 + j 0.1607603144
[  32,  28] =  0.0508305737 + j-0.0459315184
[  33,  28] =  0.0508305737 + j-0.0459315184
[  29,  29] =  0.2926297226 + j-0.3888796585
[  30,  29] = -0.08198183599 + j 0.1106886916
[  31,  29] =  0.0508305737 + j-0.0459315184
[  32,  29] = -0.1779070079 + j 0.1607603144
[  33,  29] =  0.0508305737 + j-0.0459315184
[  30,  30] =  0.2926297226 + j-0.3888796585
[  31,  30] =  0.0508305737 + j-0.0459315184
[  32,  30] =  0.0508305737 + j-0.0459315184
[  33,  30] = -0.1779070079 + j 0.1607603144
[  31,  31] =  0.6764257711 + j -1.145867117
[  32,  31] =  -0.191113122 + j 0.3267346951
[  33,  31] =  -0.191113122 + j 0.3267346951
[  40,  31] = -0.1293297424 + j 0.2633601931
[  41,  31] = 0.03695135497 + j-0.07524576944
[  42,  31] = 0.03695135497 + j-0.07524576944
[  58,  31] = -0.1405820084 + j 0.2839756569
[  59,  31] = 0.04016628811 + j-0.08113590199
[  60,  31] = 0.04016628811 + j-0.08113590199
[  32,  32] =  0.6764257711 + j -1.145867117
[  33,  32] =  -0.191113122 + j 0.3267346951
[  40,  32] = 0.03695135497 + j-0.07524576944
[  41,  32] = -0.1293297424 + j 0.2633601931
[  42,  32] = 0.03695135497 + j-0.07524576944
[  58,  32] = 0.04016628811 + j-0.08113590199
[  59,  32] = -0.1405820084 + j 0.2839756569
[  60,  32] = 0.04016628811 + j-0.08113590199
[  33,  33] =  0.6764257711 + j -1.145867117
[  40,  33] = 0.03695135497 + j-0.07524576944
[  41,  33] = 0.03695135497 + j-0.07524576944
[  42,  33] = -0.1293297424 + j 0.2633601931
[  58,  33] = 0.04016628811 + j-0.08113590199
[  59,  33] = 0.04016628811 + j-0.08113590199
[  60,  33] = -0.1405820084 + j 0.2839756569
[  34,  34] =  0.2368375992 + j-0.6405258194
[  35,  34] = -0.06674961185 + j  0.182535122
[  36,  34] = -0.06674961185 + j  0.182535122
[  37,  34] = -0.09420945367 + j 0.3457343119
[  38,  34] = 0.02691698676 + j-0.09878123196
[  39,  34] = 0.02691698676 + j-0.09878123196
[  35,  35] =  0.2368375992 + j-0.6405258194
[  36,  35] = -0.06674961185 + j  0.182535122
[  37,  35] = 0.02691698676 + j-0.09878123196
[  38,  35] = -0.09420945367 + j 0.3457343119
[  39,  35] = 0.02691698676 + j-0.09878123196
[  36,  36] =  0.2368375992 + j-0.6405258194
[  37,  36] = 0.02691698676 + j-0.09878123196
[  38,  36] = 0.02691698676 + j-0.09878123196
[  39,  36] = -0.09420945367 + j 0.3457343119
[  37,  37] =  0.3850193086 + j -1.087945658
[  38,  37] = -0.1076442417 + j  0.309319906
[  39,  37] = -0.1076442417 + j  0.309319906
[  49,  37] = -0.2825453921 + j  0.736885359
[  50,  37] = 0.08072725489 + j -0.210538674
[  51,  37] = 0.08072725489 + j -0.210538674
[  38,  38] =  0.3850193086 + j -1.087945658
[  39,  38] = -0.1076442417 + j  0.309319906
[  49,  38] = 0.08072725489 + j -0.210538674
[  50,  38] = -0.2825453921 + j  0.736885359
[  51,  38] = 0.08072725489 + j -0.210538674
[  39,  39] =  0.3850193086 + j -1.087945658
[  49,  39] = 0.08072725489 + j -0.210538674
[  50,  39] = 0.08072725489 + j -0.210538674
[  51,  39] = -0.2825453921 + j  0.736885359
[  40,  40] =   0.351937691 + j-0.7083383748
[  41,  40] = -0.09971406151 + j 0.2021462653
[  42,  40] = -0.09971406151 + j 0.2021462653
[  43,  40] = -0.2196694729 + j 0.4441517355
[  44,  40] = 0.06276270654 + j-0.1269004959
[  45,  40] = 0.06276270654 + j-0.1269004959
[  41,  41] =   0.351937691 + j-0.7083383748
[  42,  41] = -0.09971406151 + j 0.2021462653
[  43,  41] = 0.06276270654 + j-0.1269004959
[  44,  41] = -0.2196694729 + j 0.4441517355
[  45,  41] = 0.06276270654 + j-0.1269004959
[  42,  42] =   0.351937691 + j-0.7083383748
[  43,  42] = 0.06276270654 + j-0.1269004959
[  44,  42] = 0.06276270654 + j-0.1269004959
[  45,  42] = -0.2196694729 + j 0.4441517355
[  43,  43] =  0.6485182698 + j  -1.28752426
[  44,  43] = -0.1827984772 + j 0.3669720372
[  45,  43] = -0.1827984772 + j 0.3669720372
[  46,  43] = -0.4201251973 + j 0.8402503946
[  47,  43] =  0.1200357707 + j-0.2400715413
[  48,  43] =  0.1200357707 + j-0.2400715413
[  44,  44] =  0.6485182698 + j  -1.28752426
[  45,  44] = -0.1827984772 + j 0.3669720372
[  46,  44] =  0.1200357707 + j-0.2400715413
[  47,  44] = -0.4201251973 + j 0.8402503946
[  48,  44] =  0.1200357707 + j-0.2400715413
[  45,  45] =  0.6485182698 + j  -1.28752426
[  46,  45] =  0.1200357707 + j-0.2400715413
[  47,  45] =  0.1200357707 + j-0.2400715413
[  48,  45] = -0.4201251973 + j 0.8402503946
[  46,  46] =  0.5496202714 + j -1.125532591
[  47,  46] = -0.1564571627 + j 0.3213970854
[  48,  46] = -0.1564571627 + j 0.3213970854
[  49,  46] =  -0.127474872 + j 0.2846394044
[  50,  46] = 0.03642139201 + j-0.08132554412
[  51,  46] = 0.03642139201 + j-0.08132554412
[  47,  47] =  0.5496202714 + j -1.125532591
[  48,  47] = -0.1564571627 + j 0.3213970854
[  49,  47] = 0.03642139201 + j-0.08132554412
[  50,  47] =  -0.127474872 + j 0.2846394044
[  51,  47] = 0.03642139201 + j-0.08132554412
[  48,  48] =  0.5496202714 + j -1.125532591
[  49,  48] = 0.03642139201 + j-0.08132554412
[  50,  48] = 0.03642139201 + j-0.08132554412
[  51,  48] =  -0.127474872 + j 0.2846394044
[  49,  49] =  0.9668023641 + j -3.175852109
[  50,  49] = -0.2747075363 + j 0.6261461162
[  51,  49] = -0.2747075363 + j 0.6261461162
[  52,  49] = -0.3643809483 + j 0.7842566962
[  53,  49] =  0.1041088424 + j-0.2240733418
[  54,  49] =  0.1041088424 + j-0.2240733418
[  55,  49] = -0.1870751645 + j 0.3857299472
[  56,  49] =   0.053450047 + j-0.1102085563
[  57,  49] =   0.053450047 + j-0.1102085563
[  82,  49] =             0 + j  27.54820937
[  50,  50] =  0.9668023641 + j -3.175852109
[  51,  50] = -0.2747075363 + j 0.6261461162
[  52,  50] =  0.1041088424 + j-0.2240733418
[  53,  50] = -0.3643809483 + j 0.7842566962
[  54,  50] =  0.1041088424 + j-0.2240733418
[  55,  50] =   0.053450047 + j-0.1102085563
[  56,  50] = -0.1870751645 + j 0.3857299472
[  57,  50] =   0.053450047 + j-0.1102085563
[  83,  50] =             0 + j  27.54820937
[  51,  51] =  0.9668023641 + j -3.175852109
[  52,  51] =  0.1041088424 + j-0.2240733418
[  53,  51] =  0.1041088424 + j-0.2240733418
[  54,  51] = -0.3643809483 + j 0.7842566962
[  55,  51] =   0.053450047 + j-0.1102085563
[  56,  51] =   0.053450047 + j-0.1102085563
[  57,  51] = -0.1870751645 + j 0.3857299472
[  84,  51] =             0 + j  27.54820937
[  52,  52] =   1.578517155 + j -3.231986831
[  53,  52] = -0.4464135331 + j 0.9204863333
[  54,  52] = -0.4464135331 + j 0.9204863333
[  55,  52] =  -1.198066418 + j   2.43744547
[  56,  52] =  0.3423046907 + j-0.6964129915
[  57,  52] =  0.3423046907 + j-0.6964129915
[  53,  53] =   1.578517155 + j -3.231986831
[  54,  53] = -0.4464135331 + j 0.9204863333
[  55,  53] =  0.3423046907 + j-0.6964129915
[  56,  53] =  -1.198066418 + j   2.43744547
[  57,  53] =  0.3423046907 + j-0.6964129915
[  54,  54] =   1.578517155 + j -3.231986831
[  55,  54] =  0.3423046907 + j-0.6964129915
[  56,  54] =  0.3423046907 + j-0.6964129915
[  57,  54] =  -1.198066418 + j   2.43744547
[  55,  55] =   1.566590078 + j -3.105603946
[  56,  55] = -0.4475971651 + j  0.887315413
[  57,  55] = -0.4475971651 + j  0.887315413
[  61,  55] = -0.1814484957 + j 0.2824285281
[  62,  55] = 0.05184242735 + j-0.08069386518
[  63,  55] = 0.05184242735 + j-0.08069386518
[  56,  56] =   1.566590078 + j -3.105603946
[  57,  56] = -0.4475971651 + j  0.887315413
[  61,  56] = 0.05184242735 + j-0.08069386518
[  62,  56] = -0.1814484957 + j 0.2824285281
[  63,  56] = 0.05184242735 + j-0.08069386518
[  57,  57] =   1.566590078 + j -3.105603946
[  61,  57] = 0.05184242735 + j-0.08069386518
[  62,  57] = 0.05184242735 + j-0.08069386518
[  63,  57] = -0.1814484957 + j 0.2824285281
[  58,  58] =  0.2478959482 + j-0.4989401624
[  59,  58] = -0.06998784931 + j 0.1421345499
[  60,  58] = -0.06998784931 + j 0.1421345499
[  61,  58] = -0.1043754642 + j 0.2134952677
[  62,  58] =  0.0298215612 + j-0.0609986479
[  63,  58] =  0.0298215612 + j-0.0609986479
[  59,  59] =  0.2478959482 + j-0.4989401624
[  60,  59] = -0.06998784931 + j 0.1421345499
[  61,  59] =  0.0298215612 + j-0.0609986479
[  62,  59] = -0.1043754642 + j 0.2134952677
[  63,  59] =  0.0298215612 + j-0.0609986479
[  60,  60] =  0.2478959482 + j-0.4989401624
[  61,  60] =  0.0298215612 + j-0.0609986479
[  62,  60] =  0.0298215612 + j-0.0609986479
[  63,  60] = -0.1043754642 + j 0.2134952677
[  61,  61] =   0.387367176 + j-0.6615125559
[  62,  61] = -0.1083937701 + j  0.188373914
[  63,  61] = -0.1083937701 + j  0.188373914
[  64,  61] = -0.09355423535 + j 0.1633849033
[  65,  61] = 0.02672978153 + j-0.04668140095
[  66,  61] = 0.02672978153 + j-0.04668140095
[  62,  62] =   0.387367176 + j-0.6615125559
[  63,  62] = -0.1083937701 + j  0.188373914
[  64,  62] = 0.02672978153 + j-0.04668140095
[  65,  62] = -0.09355423535 + j 0.1633849033
[  66,  62] = 0.02672978153 + j-0.04668140095
[  63,  63] =   0.387367176 + j-0.6615125559
[  64,  63] = 0.02672978153 + j-0.04668140095
[  65,  63] = 0.02672978153 + j-0.04668140095
[  66,  63] = -0.09355423535 + j 0.1633849033
[  64,  64] =  0.3210897415 + j-0.5617268782
[  65,  64] = -0.09173992614 + j 0.1604933938
[  66,  64] = -0.09173992614 + j 0.1604933938
[  67,  64] = -0.0868861426 + j 0.1297827602
[  68,  64] = 0.02482461217 + j-0.03708078862
[  69,  64] = 0.02482461217 + j-0.03708078862
[  70,  64] = -0.1406493635 + j 0.2685592147
[  71,  64] = 0.04018553244 + j-0.0767312042
[  72,  64] = 0.04018553244 + j-0.0767312042
[  65,  65] =  0.3210897415 + j-0.5617268782
[  66,  65] = -0.09173992614 + j 0.1604933938
[  67,  65] = 0.02482461217 + j-0.03708078862
[  68,  65] = -0.0868861426 + j 0.1297827602
[  69,  65] = 0.02482461217 + j-0.03708078862
[  70,  65] = 0.04018553244 + j-0.0767312042
[  71,  65] = -0.1406493635 + j 0.2685592147
[  72,  65] = 0.04018553244 + j-0.0767312042
[  66,  66] =  0.3210897415 + j-0.5617268782
[  67,  66] = 0.02482461217 + j-0.03708078862
[  68,  66] = 0.02482461217 + j-0.03708078862
[  69,  66] = -0.0868861426 + j 0.1297827602
[  70,  66] = 0.04018553244 + j-0.0767312042
[  71,  66] = 0.04018553244 + j-0.0767312042
[  72,  66] = -0.1406493635 + j 0.2685592147
[  67,  67] = 0.09010010036 + j-0.1318947896
[  68,  67] = -0.02482461217 + j0.03708078862
[  69,  67] = -0.02482461217 + j0.03708078862
[  68,  68] = 0.09010010036 + j-0.1318947896
[  69,  68] = -0.02482461217 + j0.03708078862
[  69,  69] = 0.09010010036 + j-0.1318947896
[  70,  70] =  0.2608506305 + j-0.7272074554
[  71,  70] = -0.07452875157 + j 0.1415200489
[  72,  70] = -0.07452875157 + j 0.1415200489
[  73,  70] = -0.07110228402 + j 0.1343438515
[  74,  70] = 0.02031493829 + j-0.03838395756
[  75,  70] = 0.02031493829 + j-0.03838395756
[  76,  70] = -0.04909898296 + j0.09241710503
[  77,  70] = 0.01402828085 + j-0.02640488715
[  78,  70] = 0.01402828085 + j-0.02640488715
[  79,  70] =             0 + j0.05988824489
[  71,  71] =  0.2608506305 + j-0.7272074554
[  72,  71] = -0.07452875157 + j 0.1415200489
[  73,  71] = 0.02031493829 + j-0.03838395756
[  74,  71] = -0.07110228402 + j 0.1343438515
[  75,  71] = 0.02031493829 + j-0.03838395756
[  76,  71] = 0.01402828085 + j-0.02640488715
[  77,  71] = -0.04909898296 + j0.09241710503
[  78,  71] = 0.01402828085 + j-0.02640488715
[  80,  71] =             0 + j0.05988824489
[  72,  72] =  0.2608506305 + j-0.7272074554
[  73,  72] = 0.02031493829 + j-0.03838395756
[  74,  72] = 0.02031493829 + j-0.03838395756
[  75,  72] = -0.07110228402 + j 0.1343438515
[  76,  72] = 0.01402828085 + j-0.02640488715
[  77,  72] = 0.01402828085 + j-0.02640488715
[  78,  72] = -0.04909898296 + j0.09241710503
[  81,  72] =             0 + j0.05988824489
[  73,  73] =  0.1384461515 + j-0.2582547782
[  74,  73] = -0.03892636992 + j0.07355095197
[  75,  73] = -0.03892636992 + j0.07355095197
[  76,  73] = -0.06514001071 + j 0.1230844804
[  77,  73] = 0.01861143163 + j-0.03516699441
[  78,  73] = 0.01861143163 + j-0.03516699441
[  74,  74] =  0.1384461515 + j-0.2582547782
[  75,  74] = -0.03892636992 + j0.07355095197
[  76,  74] = 0.01861143163 + j-0.03516699441
[  77,  74] = -0.06514001071 + j 0.1230844804
[  78,  74] = 0.01861143163 + j-0.03516699441
[  75,  75] =  0.1384461515 + j-0.2582547782
[  76,  75] = 0.01861143163 + j-0.03516699441
[  77,  75] = 0.01861143163 + j-0.03516699441
[  78,  75] = -0.06514001071 + j 0.1230844804
[  76,  76] =  0.1239726943 + j-0.2172463054
[  77,  76] = -0.03263971248 + j0.06157188156
[  78,  76] = -0.03263971248 + j0.06157188156
[  77,  77] =  0.1239726943 + j-0.2172463054
[  78,  77] = -0.03263971248 + j0.06157188156
[  78,  78] =  0.1239726943 + j-0.2172463054
[  79,  79] = 0.02592067253 + j-0.1046386512
[  80,  79] = -0.007405906437 + j0.02547761307
[  81,  79] = -0.007405906437 + j0.02547761307
[  80,  80] = 0.02592067253 + j-0.1046386512
[  81,  80] = -0.007405906437 + j0.02547761307
[  81,  81] = 0.02592067253 + j-0.1046386512
[  82,  82] =             0 + j -1870.629371
[  85,  82] =             0 + j  43.70629371
[  83,  83] =             0 + j -1870.629371
[  86,  83] =             0 + j  43.70629371
[  84,  84] =             0 + j -1870.629371
[  87,  84] =             0 + j  43.70629371
[  85,  85] = -8.26446281E-006 + j -3.973294967
[  86,  86] = -8.26446281E-006 + j -3.973294967
[  87,  87] = -8.26446281E-006 + j -3.973294967
[  88,  88] = -8.26446281E-006 + j -5.903183261
[  89,  89] = -8.26446281E-006 + j -5.903183261
[  90,  90] = -8.26446281E-006 + j -5.903183261
